-97.4883,27.7653,-97.3664,37.4769
-97.3566,26.0733,-97.0813,44.8997
-97.0706,28.8358,-96.7861,46.9336
-96.7833,30.6274,-96.1466,43.599
-96.1374,33.1531,-95.9406,41.266
-95.938,29.6958,-95.4759,46.8511
-95.4742,29.0436,-95.2575,32.344
-95.25,29.5831,-94.9838,47.8796
-94.9513,29.2631,-94.6017,47.3844
-94.5806,29.864,-94.2651,39.5306
-94.177,29.8942,-93.981,46.3944
-93.9139,29.7181,-93.5992,46.2056
-93.5797,30.1433,-93.2551,45.0136
-93.2443,34.1795,-92.7651,48.4128
-92.5393,34.6812,-92.0931,47.5212
-92.0892,30.0089,-91.413,47.9464
-91.3661,30.1975,-90.9656,41.4078
-90.8492,29.7639,-90.5969,46.6144
-90.5875,37.9008,-90.3445,44.0209
-90.2811,30.0411,-90.1775,41.875
-90.1606,29.9431,-89.8502,42.2869
-89.8094,34.0026,-89.5861,47.9721
-89.436,30.3009,-88.8196,45.6453
-80.4838,25.4782,-80.1114,26.2499
-88.81,30.3781,-88.283,45.5639
-88.2779,30.4744,-88.0875,44.2893
-82.3625,26.2906,-80.0589,27.1889
-88.0728,30.4889,-87.8111,44.5167
-87.8103,38.0064,-87.7136,43.4981
-87.6736,37.0578,-87.495,46.5179
-87.4936,30.3681,-87.2044,41.6534
-87.1995,30.3942,-86.9297,41.6178
-82.74,27.2906,-80.311,27.8344
-86.9242,33.3169,-86.6844,41.7178
-86.6525,30.4444,-86.3706,41.5517
-82.7361,27.8492,-80.4554,28.0903
-86.3111,32.4128,-86.1481,44.3069
-82.7578,28.1419,-80.6156,29.1708
-86.1144,33.9913,-85.8708,46.2889
-85.8707,30.1289,-85.7131,44.1809
-85.7121,30.8475,-85.5235,42.9847
-85.4921,34.2605,-85.0168,41.2214
-84.9903,29.1928,-81.0531,30.2628
-84.9457,32.4274,-84.5992,44.3106
-84.5892,33.1787,-84.4052,42.7614
-84.4038,30.4397,-84.2726,39.5295
-84.2231,31.5767,-83.9977,40.771
-83.5979,30.3546,-81.0489,32.6056
-83.9504,34.3003,-83.8095,43.5714
-83.8046,32.7773,-83.6014,41.6206
-83.5997,32.8031,-83.3102,43.61
-83.2872,35.5871,-83.0742,42.4631
-83.0662,32.9672,-82.807,42.4308
-82.8068,35.3792,-82.5353,42.7314
-82.5287,34.7518,-82.2567,42.9533
-82.1101,33.3422,-81.7886,41.4209
-81.6824,35.9359,-81.4963,41.5552
-81.125,32.84,-77.8386,34.6153
-81.4949,35.4386,-81.2542,41.673
-81.2499,34.9126,-80.797,41.7268
-80.7831,35.2411,-80.5728,41.9597
-80.5408,34.9739,-80.244,41.215
-80.2244,36.0508,-79.8845,42.1428
-79.8683,35.26,-79.5126,40.8142
-78.9919,34.8848,-76.6203,35.8894
-79.5061,36.033,-78.7764,42.9925
-78.7681,36.1411,-77.7677,43.2189
-77.6554,35.9883,-76.1812,37.6714
-77.7219,38.2009,-77.2309,43.1461
-77.2103,38.7684,-77.0104,43.2303
-76.9581,38.5042,-76.6994,41.6447
-76.6814,38.5367,-76.2967,43.2843
-76.1408,38.0139,-74.431,39.4649
-76.2833,39.5513,-75.732,44.0878
-75.6866,39.5777,-75.3411,41.8673
-75.3283,39.8003,-75.0108,43.0994
-74.9852,39.6842,-74.2762,43.4556
-74.2084,39.9949,-73.4061,40.7356
-74.1681,40.7709,-73.8589,44.3931
-73.8244,40.7375,-73.2497,43.0122
-73.1953,40.8278,-70.7858,41.4942
-73.2396,41.55,-72.3867,44.5284
-72.01,41.615,-70.0239,42.2412
-72.3344,42.2639,-71.4582,43.945
-71.4056,42.2638,-70.9719,42.8625
-71.3038,43.0453,-69.2608,44.3123
-70.8547,44.3517,-67.0605,47.3553
